clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
5,1071,0,0,1,0,0,0,1,0,0,0,0,0,-0.9691071821551229,0.38053022493766925,-0.203029090045042,-1.120989674949845,-1.0633024062134209,-1.0950870105698383
2,6694,0,0,0,1,0,0,0,0,0,0,1,0,1.2382658384706726,0.2402404270213446,-0.203029090045042,1.3201949492746352,1.0891772181607846,1.2856718339772515
2,5280,0,0,0,0,1,0,0,0,0,0,1,0,0.8388364347383859,0.5909649218121636,0.3465325266670214,0.8658138695832174,0.8119639332035006,0.9558076567207264
1,1208,0,0,0,1,0,0,0,0,1,0,0,0,-0.5066099778335276,-1.2328024511000966,1.1708749517351131,-0.23004638143726075,-0.2642758789836025,-0.6218036258104771
4,7114,0,0,0,1,0,0,0,1,0,0,0,0,0.418384430809663,0.5909649218121636,0.25493892388167644,0.5628931497889389,0.5347506482462167,0.6546273209647695
2,9256,0,0,0,1,0,0,0,0,0,0,1,0,1.7428082431851402,0.1700955280631798,-1.5769331318251971,1.7211194313552982,1.5131504775072186,1.7015875357354777
1,15992,0,0,0,1,0,0,0,0,0,1,0,0,3.151322456346362,0.6611098207703285,-0.6609971039717604,2.4249646332302404,2.181723694168904,2.5047350977513627
6,1043,0,0,1,0,0,0,0,0,1,0,0,0,-0.842971580976506,0.45067512389583403,-1.5769331318251971,-0.8982538515716989,-0.8105491169876622,-0.8369324370647321
7,4596,0,0,0,0,1,0,0,0,0,0,1,0,0.2081584288453015,0.5909649218121636,0.7129069378083949,0.3401573264107928,0.3309173504835078,0.42515658896023056
1,12381,0,0,0,0,1,0,0,0,0,0,0,1,2.7308704524176393,-1.8641065417235698,0.25493892388167644,2.371508035619485,2.2143370218109384,2.0601355544925695
3,1993,0,0,1,0,0,1,0,0,0,0,0,0,-0.5486551782263999,0.029805730146850177,-0.6609971039717604,-0.4438727718802811,-0.4354958491042779,-0.449700576807073
2,5252,0,1,0,0,0,0,0,0,0,0,1,0,0.8598590349348221,0.6611098207703285,0.7129069378083949,0.7945384061022106,0.7875039374719753,0.9127818944698751
